"time_id","type_id","start_time_id","no_of_events"
"201911",2,"0900",1
"201911",2,"0930",1
"201911",2,"1000",5
"201911",2,"1130",3
"201911",2,"1200",9
"201911",2,"1230",5
"201911",2,"1245",1
"201911",2,"1300",13
"201911",2,"1330",14
"201911",2,"1400",31
"201911",2,"1430",5
"201911",2,"1500",24
"201911",2,"1530",5
"201911",2,"1600",20
"201911",2,"1700",54
"201911",2,"1715",1
"201911",2,"1730",12
"201911",2,"1800",172
"201911",2,"1830",255
"201911",2,"1845",8
"201911",2,"1900",1605
"201911",2,"1915",6
"201911",2,"1930",861
"201911",2,"1945",6
"201911",2,"2000",271
"201911",2,"2015",1
"201911",2,"2030",33
"201911",2,"2100",64
"201911",2,"2115",4
"201911",2,"2130",38
"201911",2,"2200",106
"201911",2,"2230",27
"201911",2,"2300",80
"201911",2,"2330",4
"201911",2,"2345",2
"201912",2,"0000",537
"201912",2,"0730",4
"201912",2,"1030",3
"201912",2,"1100",10
"201912",2,"1200",8
"201912",2,"1230",5
"201912",2,"1300",12
"201912",2,"1330",2
"201912",2,"1400",34
"201912",2,"1430",2
"201912",2,"1500",15
"201912",2,"1600",5
"201912",2,"1700",27
"201912",2,"1730",9
"201912",2,"1800",190
"201912",2,"1830",154
"201912",2,"1845",3
"201912",2,"1900",932
"201912",2,"1915",4
"201912",2,"1930",412
"201912",2,"1945",4
"201912",2,"2000",160
"201912",2,"2015",1
"201912",2,"2030",22
"201912",2,"2040",1
"201912",2,"2100",67
"201912",2,"2115",13
"201912",2,"2130",22
"201912",2,"2200",46
"201912",2,"2230",15
"201912",2,"2300",57
"202001",2,"0000",379
"202001",2,"0100",3
"202001",2,"0700",2
"202001",2,"0800",1
"202001",2,"1130",2
"202001",2,"1200",13
"202001",2,"1230",3
"202001",2,"1300",17
"202001",2,"1400",12
"202001",2,"1500",3
"202001",2,"1600",5
"202001",2,"1630",3
"202001",2,"1700",14
"202001",2,"1730",10
"202001",2,"1800",75
"202001",2,"1830",58
"202001",2,"1845",4
"202001",2,"1900",376
"202001",2,"1915",2
"202001",2,"1930",266
"202001",2,"1945",3
"202001",2,"2000",125
"202001",2,"2030",20
"202001",2,"2100",25
"202001",2,"2115",6
"202001",2,"2130",27
"202001",2,"2200",36
"202001",2,"2230",9
"202001",2,"2300",32
"202002",2,"0000",652
"202002",2,"0100",1
"202002",2,"0230",2
"202002",2,"0630",1
"202002",2,"0700",2
"202002",2,"0730",2
"202002",2,"1030",1
"202002",2,"1100",1
"202002",2,"1130",4
"202002",2,"1200",17
"202002",2,"1230",3
"202002",2,"1245",1
"202002",2,"1300",8
"202002",2,"1315",2
"202002",2,"1330",5
"202002",2,"1400",9
"202002",2,"1430",5
"202002",2,"1500",9
"202002",2,"1530",4
"202002",2,"1600",11
"202002",2,"1630",4
"202002",2,"1700",14
"202002",2,"1730",10
"202002",2,"1745",1
"202002",2,"1800",77
"202002",2,"1815",2
"202002",2,"1830",115
"202002",2,"1845",7
"202002",2,"1900",947
"202002",2,"1915",4
"202002",2,"1930",430
"202002",2,"1945",1
"202002",2,"2000",178
"202002",2,"2030",29
"202002",2,"2045",1
"202002",2,"2100",53
"202002",2,"2115",3
"202002",2,"2130",29
"202002",2,"2200",73
"202002",2,"2230",11
"202002",2,"2300",52
"202002",2,"2330",4
